RobotX,RobotY,t_GoalX,t_GoalY,t_Rrep,t_Rori,t_Ratt,Var8,nAg,groups
0.0799307172364818,0.118193563280366,0.36424371295497,0.190626869776706,0.01,0.15,0.2,T2,10,3
0.0799307172364818,0.118193563280366,0.490728152487362,0.104445189961178,,,,,,
0.0799307172364818,0.118193563280366,-0.230134565222084,0.182289877664072,,,,,,
0.0799307172364818,0.118193563280366,-0.391784939186743,0.079550017962378,,,,,,
-0.000992482282973994,-0.070881144051483,,,,,,,,
-0.000992482282973994,-0.070881144051483,,,,,,,,
-0.000992482282973994,-0.070881144051483,,,,,,,,
-0.000992482282973994,-0.070881144051483,,,,,,,,
0.32134123198061,0.0115789993157029,,,,,,,,
0.32134123198061,0.0115789993157029,,,,,,,,
