CCO,avgA2A,isolated
0,0.162881969663055,0
0,0.162964751746027,0
0,0.163043863049599,0
0,0.163119499623068,0
0,0.163191830758894,0
0,0.163261002779675,0
0,0.163327158870329,0
0,0.16339200228358,0
0,0.163453974904222,0
0,0.163513193793248,0
0,0.163569768721543,0
0,0.163623803139013,0
0,0.163675394676125,0
0,0.163724634678847,0
0,0.163771610238108,0
0,0.16381640467068,0
0,0.163859100322528,0
0,0.163899777165464,0
0,0.163938505765206,0
0,0.163975354508203,0
0,0.164010386907241,0
0,0.164043665726891,0
0,0.164075247858709,0
0,0.164105186916691,0
0,0.1641335365719,0
0,0.164163147297554,0
0,0.164190998834578,0
0,0.164217139950853,0
0,0.164241620443102,0
0,0.164264487000116,0
0,0.164285784039769,0
0,0.164305555204723,0
0,0.164323844150416,0
0,0.164340692076613,0
0,0.164356151026173,0
0,0.164370264358824,0
0,0.164383074569573,0
0,0.164394623337841,0
0,0.164404951134896,0
0,0.164414098441991,0
0,0.164422102126518,0
0,0.16442831791853,0
0,0.164433408099317,0
0,0.164437395732435,0
0,0.164440296987572,0
0,0.164441963827731,0
0,0.164442619918002,0
0,0.164442301313825,0
0,0.164441047794563,0
0,0.164438900299169,0
0,0.164435897058915,0
0,0.164432076984086,0
0,0.164427479363689,0
0,0.164422143108057,0
0,0.164416107053904,0
0,0.164409409339052,0
0,0.164402087082923,0
0,0.164393617932063,0
0,0.164384634219661,0
0,0.164375164756637,0
0,0.164365237627459,0
0,0.164354880246825,0
0,0.164344119444562,0
0,0.164332981553761,0
0,0.164321492480592,0
0,0.164309682841714,0
0,0.164297581439635,0
0,0.164285211761753,0
0,0.164272596029316,0
0,0.16425975553167,0
0,0.164246711317044,0
0,0.164233483517325,0
0,0.164220091221947,0
0,0.164206552237661,0
0,0.164192882620972,0
0,0.164179095868244,0
0,0.164165242970618,0
0,0.164151338237209,0
0,0.164137395372533,0
0,0.164123431607306,0
0,0.164109462383865,0
0,0.164095507137713,0
0,0.164081582922545,0
0,0.164067700808909,0
0,0.164053871367014,0
0,0.164040104657692,0
0,0.164026410230382,0
0,0.164012797126474,0
0,0.163999273885301,0
0,0.16398584855437,0
0,0.163972528701021,0
0,0.163959320628533,0
0,0.163946231124252,0
0,0.163933271155438,0
0,0.163920445956047,0
0,0.163907760544748,0
0,0.163895219523823,0
0,0.163882827096479,0
0,0.163870587126241,0
0,0.163858503144453,0
0,0.163846578358747,0
0,0.16383481566208,0
0,0.163823217642045,0
0,0.163811786522584,0
0,0.163800524302747,0
0,0.163789432710861,0
0,0.163778513207098,0
0,0.163767766992216,0
0,0.163757195015998,0
0,0.163746797985381,0
0,0.163736576328382,0
0,0.163726530185318,0
0,0.163716659594823,0
0,0.163706964381045,0
0,0.163697444156326,0
0,0.163688098328333,0
0,0.163678926114607,0
0,0.163669926541251,0
0,0.163661098447651,0
0,0.163652440490757,0
