RobotX,RobotY,t_GoalX,t_GoalY,t_Rrep,t_Rori,t_Ratt,Var8,nAg,groups
-0.442296887852615,0.0676340203251541,-0.169546782460937,-0.135280205020177,0.01,0.15,0.2,V,10,3
-0.442296887852615,0.0676340203251541,0.0967229270838363,0.0894891183587052,,,,,,
-0.442296887852615,0.0676340203251541,-0.458836001260131,-0.126225236668043,,,,,,
-0.442296887852615,0.0676340203251541,0.248682785851969,0.0650593913792924,,,,,,
-0.0203612376491962,0.135600261835473,,,,,,,,
-0.0203612376491962,0.135600261835473,,,,,,,,
-0.0203612376491962,0.135600261835473,,,,,,,,
-0.0203612376491962,0.135600261835473,,,,,,,,
0.42072194783577,0.0323176075624371,,,,,,,,
0.42072194783577,0.0323176075624371,,,,,,,,
